На Нивах (зворотній),"49.86547362920283, 24.011199798887073","43, 103",,,
пл. Галицька (зворотній),"49.83930382650039, 24.032714070237716","63, 123",,,
пл. Митна (зворотній),"49.83975064946617, 24.037316923135513","59, 119",,,
Війсковий госпіталь (зворотній),"49.84011190757697, 24.04274895293832","40, 100",,,
Медичний університет (зворотній),"49.84001446323072, 24.049257070009475","78, 138",,,
вул. Мечникова (зворотній),"49.83875717576814, 24.054014702584073","83, 143",,,
вул. Богдана Котика (зворотній),"49.83745294799766, 24.059874574594897","77, 137",,,
вул. Пасічна (зворотній),"49.834350393182106, 24.067779832419653","158, 218",,,
вул. Таджицька (зворотній),"49.83016823651534, 24.069140378282572","122, 182",,,
Майорівка (зворотній),"49.82602467845659, 24.073258279367757","94, 154",,,
вул. Ярошинської (зворотній),"49.821889775012316, 24.0752286247929","136, 196",,,
вул. Лисинецька (зворотній),"49.81807597868655, 24.07673956930476","136, 196",,,
Коледж (зворотній),"49.81517500960966, 24.07772352581313","136, 196",,,
"ТЦ ""Метро-2"" (зворотній)","49.81456863753763, 24.075818261616014","262, 322",,,
Перинатальний центр (зворотній),"49.81619117744725, 24.06949767655253","253, 313",,,
вул. Джорджа Вашингтона (зворотній),"49.816113529000724, 24.06293820016319","236, 296",,,
вул. Бузкова (зворотній),"49.81366614022811, 24.060206497679815","130, 190",,,
Фрезерний завод (зворотній),"49.81218938659933, 24.060995137024047","140, 200",,,
Автостанція №5 (зворотній),"49.807685661300255, 24.061427381188945","145, 205",,,
ДБК (зворотній),"49.80498385669829, 24.062731952800984","120, 180",,,
вул. Зубрівська (зворотній),"49.8015614649059, 24.06587722735411","112, 172",,,
